taxonomy_id	common_name	scientific_name	release_folder_name
166486	Roseburia intestinalis	Roseburia intestinalis	roseburia_intestinalis
169435	Anaerotruncus colihominis	Anaerotruncus colihominis	anaerotruncus_colihominis
202950	Acinetobacter baylyi	Acinetobacter baylyi	acinetobacter_baylyi
208479	Enterocloster bolteae	Clostridium bolteae	clostridium_bolteae
216498	calcareous tube worm	Hydroides elegans	hydroides_elegans
216816	Bifidobacterium longum	Bifidobacterium longum	bifidobacterium_longum
218538	Dialister invisus	Dialister invisus	dialister_invisus
239935	Akkermansia muciniphila	Akkermansia muciniphila	akkermansia_muciniphila
245014	butyrate-producing bacterium SS3/4	Butyrate-producing bacterium ss3/4	butyrate_producing_bacterium_ss3_4
246787	Bacteroides cellulosilyticus	Bacteroides cellulosilyticus	bacteroides_cellulosilyticus
261299	Intestinibacter bartlettii	Intestinibacter bartlettii	intestinibacter_bartlettii
281920	Porphyromonas uenonis	Porphyromonas uenonis	porphyromonas_uenonis
310297	Bacteroides plebeius	Bacteroides plebeius	bacteroides_plebeius
310298	Bacteroides coprocola	Bacteroides coprocola	bacteroides_coprocola
328814	Alistipes shahii	Alistipes shahii	alistipes_shahii
330879	Aspergillus fumigatus Af293	Aspergillus fumigatus	aspergillus_fumigatus
333367	Enterocloster asparagiformis	Clostridium asparagiforme	clostridium_asparagiforme
334908	yellow croaker	Larimichthys polyactis	larimichthys_polyactis
360807	Roseburia inulinivorans	Roseburia inulinivorans	roseburia_inulinivorans
384638	Bacteroides pectinophilus	Bacteroides pectinophilus	bacteroides_pectinophilus
386414	Prevotella timonensis	Prevotella timonensis	prevotella_timonensis
387090	Bacteroides coprophilus	Bacteroides coprophilus	bacteroides_coprophilus
410072	Coprococcus comes	Coprococcus comes	coprococcus_comes
411484	Clostridium sp. SS2/1	Clostridium sp. SS2/1	clostridium_sp_ss2_1
411486	Clostridium sp. M62/1	Clostridium sp. M62/1	clostridium_sp_m62_1
411489	Clostridium sp. L2-50	Clostridium sp. L2-50	clostridium_sp_l2_50
452646	American mink	Neovison vison	neovison_vison
457412	Ruminococcus sp. 5_1_39BFAA	Ruminococcus sp. 5_1_39BFAA	ruminococcus_sp_5_1_39bfaa
457421	Clostridiales bacterium 1_7_47FAA	Clostridiales bacterium 1_7_47FAA	clostridiales_bacterium_1_7_47faa
469586	Bacteroides thetaiotaomicron	Bacteroides thetaiotaomicron	bacteroides_thetaiotaomicron
469587	Bacteroides fragilis	Bacteroides fragilis	bacteroides_fragilis
469796	Asiatic mouflon	Ovis orientalis	ovis_orientalis
552396	Erysipelotrichaceae bacterium 5_2_54FAA	Erysipelotrichaceae bacterium 5_2_54FAA	erysipelotrichaceae_bacterium_5_2_54faa
556270	Coprobacillus sp. D7	Coprobacillus sp. D7	coprobacillus_sp_d7
563191	Acidaminococcus intestini	Acidaminococcus intestini	acidaminococcus_intestini
563193	Parabacteroides sp. D13	Parabacteroides sp. D13	parabacteroides_sp_d13
657323	Ruminococcus sp. SR1/5	Ruminococcus sp. SR1/5	ruminococcus_sp_sr1_5
1161942	Ruminococcus champanellensis	Ruminococcus champanellensis	ruminococcus_champanellensis
